,0,1
1772,906,1326
1773,906,1327
1774,907,139
1775,907,140
1776,907,142
1777,907,143
1778,907,147
1779,907,148
1780,907,352
1781,907,353
1782,907,357
1783,907,358
1784,907,361
1785,907,362
1786,907,692
1787,907,693
1788,907,712
1789,907,713
1790,907,1312
1791,907,1313
1792,907,1315
1793,907,1316
1794,907,1322
1795,907,1323
1796,907,1326
1797,907,1327
1798,922,210
1799,922,211
1800,922,292
1801,923,210
1802,923,292
1803,924,289
1804,926,290
1805,926,291
1806,926,300
1807,927,200
1808,927,201
1809,927,202
1810,927,210
1811,927,291
1812,927,299
1813,927,300
1814,928,200
1815,928,201
1816,928,202
1817,928,299
1818,928,300
1819,929,201
1820,929,299
1821,929,300
1822,930,195
1823,930,196
1824,930,306
1825,931,195
1826,931,196
1827,931,287
1828,931,304
1829,931,305
1830,931,306
1831,932,215
1832,932,304
1833,932,305
1834,932,306
1835,933,285
1836,935,214
1837,935,215
1838,935,216
1839,935,217
1840,935,284
1841,935,285
1842,936,185
1843,936,214
1844,936,215
1845,936,284
1846,936,285
1847,936,286
1848,936,316
1849,936,317
1850,937,184
1851,937,185
1852,937,186
1853,937,315
1854,937,316
1855,937,317
1856,938,184
1857,938,185
1858,938,315
1859,939,179
1860,939,321
1861,940,179
1862,940,321
1863,941,179
1864,941,216
1865,941,217
1866,941,218
1867,941,219
1868,941,282
1869,941,283
1870,941,284
1871,941,321
1872,942,162
1873,942,163
1874,942,180
1875,942,181
1876,942,215
1877,942,217
1878,942,218
1879,942,220
1880,942,281
1881,942,283
1882,942,285
1883,942,319
1884,942,320
1885,942,338
1886,942,339
1887,943,162
1888,943,163
1889,943,180
1890,943,181
1891,943,215
1892,943,216
1893,943,219
1894,943,220
1895,943,281
1896,943,282
1897,943,283
1898,943,284
1899,943,285
1900,943,319
1901,943,320
1902,943,338
1903,943,339
1904,951,151
1905,951,152
1906,951,153
1907,951,154
1908,952,151
1909,952,152
1910,952,153
1911,952,154
1912,953,151
1913,953,152
1914,953,153
1915,953,154
1916,954,151
1917,954,152
1918,954,153
1919,954,154
1920,955,149
1921,955,150
1922,955,351
1923,961,142
1924,961,143
1925,961,357
1926,961,358
1927,962,142
1928,962,143
1929,962,357
1930,962,358
1931,963,141
1932,964,141
1933,964,360
1934,1030,790
1935,1030,1068
1936,1031,790
1937,1031,1068
1938,1031,1087
1939,1032,771
1940,1032,1088
1941,1033,1088
1942,1034,769
1943,1034,770
1944,1034,789
1945,1034,790
1946,1034,1088
1947,1034,1089
1948,1035,769
1949,1035,790
1950,1035,1069
1951,1035,1089
1952,1036,759
1953,1036,801
1954,1036,1057
1955,1036,1100
1956,1036,1101
1957,1037,758
1958,1037,759
1959,1037,760
1960,1037,800
1961,1037,801
1962,1037,1057
1963,1037,1058
1964,1037,1099
1965,1037,1100
1966,1037,1101
1967,1038,758
1968,1038,759
1969,1038,799
1970,1038,800
1971,1038,1058
1972,1038,1073
1973,1038,1099
1974,1038,1100
1975,1039,774
1976,1039,799
1977,1039,800
1978,1039,1058
1979,1039,1099
1980,1039,1100
1981,1040,1085
1982,1041,784
1983,1041,1073
1984,1042,748
1985,1042,749
1986,1042,774
1987,1042,810
1988,1042,811
1989,1042,1047
1990,1042,1048
1991,1042,1083
1992,1042,1110
1993,1043,748
1994,1043,749
1995,1043,774
1996,1043,775
1997,1043,776
1998,1043,777
1999,1043,782
2000,1043,783
2001,1043,784
2002,1043,810
2003,1043,811
2004,1043,1047
2005,1043,1048
2006,1043,1074
2007,1043,1075
2008,1043,1076
2009,1043,1082
2010,1043,1083
2011,1043,1084
2012,1043,1110
2013,1044,748
2014,1044,749
2015,1044,775
2016,1044,776
2017,1044,777
2018,1044,782
2019,1044,783
2020,1044,784
2021,1044,785
2022,1044,810
2023,1044,811
2024,1044,1047
2025,1044,1048
2026,1044,1073
2027,1044,1074
2028,1044,1075
2029,1044,1076
2030,1044,1082
2031,1044,1083
2032,1044,1109
2033,1044,1110
2034,1045,749
2035,1045,784
2036,1045,785
2037,1045,810
2038,1045,1047
2039,1045,1109
2040,1052,1312
2041,1052,1313
2042,1053,1312
2043,1053,1313
2044,1054,733
2045,1054,827
2046,1054,1031
2047,1054,1127
2048,1054,1128
2049,1054,1271
2050,1054,1314
2051,1055,726
2052,1055,778
2053,1055,781
2054,1055,826
2055,1055,827
2056,1055,834
2057,1055,1026
2058,1055,1031
2059,1055,1032
2060,1055,1077
2061,1055,1080
2062,1055,1126
2063,1055,1127
2064,1055,1132
2065,1055,1314
2066,1056,712
2067,1056,713
2068,1056,724
2069,1056,732
2070,1056,733
2071,1056,776
2072,1056,783
2073,1056,826
2074,1056,827
2075,1056,833
2076,1056,835
2077,1056,1024
2078,1056,1031
2079,1056,1032
2080,1056,1075
2081,1056,1082
