car_brand,car_system,car_model,register_time,meter_mile,sell_times,car_class,price
宝骏,宝骏560,2016款 1.8L iAMT豪华型,2017/1/3,2.5,0,suv,5.4
比亚迪,宋,2016款 盖世版 1.5TI 手动精英型,2017/1/9,4.71,0,suv,5.57
奥迪,奥迪A3,2016款 Limousine 35 TFSI 领英型,2016/1/3,1.68,0,saloon,13.21
宝马,宝马X4,2014款 xDrive20i X设计套装,2015/1/5,4.44,0,suv,28.37
奥迪,奥迪A3,2017款 Limousine 35 TFSI 进取型,2017/1/12,1.6299,0,saloon,14.88
本田,思域,2016款 220TURBO CVT豪华版,2018/1/10,1.36,0,saloon,12.16
本田,本田XR-V,2015款 1.5L LXi CVT经典版,2015/1/9,5.28,1,suv,8.93
奔驰,奔驰B级,2018款 B 200 动感型,2018/1/11,3.83,1,saloon,19.53
大众,迈腾,2017款 330TSI DSG 豪华型,2018/1/1,3.72,0,saloon,15.99
比速汽车,比速T5,2017款 1.5T 自动尊贵型,2018/1/1,2.34,0,suv,5.8099
宝骏,宝骏310W,2017款 1.5L 手动 时尚型 国V,2017/1/11,6.54,1,saloon,4.45
宝骏,宝骏530,2018款 1.8L 自动豪华型,2019/1/9,0.01,1,suv,7.31
比速汽车,比速T5,2017款 1.5T 手动舒适型,2017/1/8,1.47,0,suv,5.1
东风风光,东风风光580,2017款 改款 1.5T CVT豪华型,2017/1/7,6.1,0,suv,6.61
东风风光,东风风光370,2016款 1.5L 手动标准型SFG15-02 7座,2017/1/9,3.89,0,mpv,4.19
大众,途观,2013款 1.8TSI 自动两驱舒适版,2014/1/3,9.6199,1,suv,10.16
标致,标致301,2014款 1.6L 手动舒适版,2016/1/2,5.36,1,saloon,3.8
宝骏,宝骏530,2018款 1.5T DCT旗舰型,2018/1/4,2.0099,0,suv,7.88
宝骏,宝骏310,2016款 1.2L 手动舒适型,2019/1/6,1.34,0,saloon,3.62
本田,飞度,2014款 1.5L LX 手动舒适型,2014/1/8,5.32,2,saloon,4.38
宝骏,宝骏310W,2017款 1.5L 手动 时尚型 国V,2017/1/11,4.98,0,saloon,4.47
本田,本田XR-V,2017款 1.8L EXi CVT舒适版,2018/1/7,1.42,0,suv,11.91
宝骏,宝骏310,2016款 1.2L 手动豪华型,2017/1/5,0.31,1,saloon,4.0599
宝骏,宝骏730,2016款 1.5L 手动 超值型 7座 国V,2017/1/10,5.33,2,mpv,5.12
本田,飞度,2014款 1.5L LX CVT舒适型,2015/1/2,8.59,0,saloon,6.05
长安,长安CS95,2019款 2.0T 两驱豪华型,2019/1/6,1.61,3,suv,14.23
宝骏,宝骏530,2018款 1.5T 手动尊贵型,2018/1/7,2.0099,0,suv,6.4
宝骏,宝骏530,2018款 1.5T DCT旗舰型,2018/1/2,1.81,1,suv,7.67
长安欧尚,欧尚X70A,2018款 1.5L 手动标准型,2018/1/8,3.46,0,suv,4.5599
长安,奔奔,2015款 1.4L 手动尊贵型 国V,2016/1/8,1.28,0,saloon,2.72
长安,睿骋CC,2018款 1.5T 手动豪雅型,2018/1/12,0.44,0,saloon,7.52
宝骏,宝骏530,2018款 1.5T 手动精英型,2018/1/7,2.6,0,suv,6.05
本田,本田XR-V,2015款 1.8L EXi  CVT舒适版,2016/1/1,7.26,0,suv,9.3
标致,标致5008,2017款 380THP 7座豪华版,2017/1/6,0.31,1,suv,18.6
长安,奔奔,2015款 1.4L IMT豪华型 国V,2017/1/8,2.04,0,saloon,3.61
宝骏,宝骏530,2019款 1.5T CVT豪华型,2019/1/6,0.74,0,suv,7.44
奔驰,奔驰GLC级,2017款 GLC 260 4MATIC 动感型,2017/1/8,2.7,1,suv,31.3
奔驰,奔驰E级,2016款 E 300 L 运动 时尚型,2016/1/11,3.61,1,saloon,34.12
东风风光,东风风光580,2017款 1.8L 手动舒适型,2018/1/1,1.05,0,suv,5.86
比亚迪,秦,2015款 1.5T 双冠旗舰Plus版,2015/1/7,11.18,1,EV,5.7699
本田,飞度,2011款 1.3L 手动舒适版,2013/1/7,9.06,0,saloon,4.2699
标致,标致5008,2017款 380THP 7座精英版,2018/1/1,3.38,0,suv,17.44
长安,奔奔,2014款 1.4L IMT尊贵型,2014/1/10,3.2,0,saloon,2.7799
宝骏,宝骏310,2016款 1.2L 手动豪华型,2016/1/9,3.58,0,saloon,3.19
奥迪,奥迪Q7,2010款 3.6 FSI quattro 基本型,2010/1/11,9.97,6,suv,15.7
东风风光,东风风光370,2016款 1.5L 手动尊享型 7座,2016/1/9,4,0,mpv,3.33
比速汽车,比速T5,2017款 1.5T 手动豪华型,2017/1/10,2.06,0,suv,5.12
宝骏,宝骏510,2017款 1.5L 手动豪华型,2017/1/9,4.82,0,suv,4.89
宝骏,宝骏730,2017款 1.5T 手动豪华型 7座,2017/1/10,6.2,0,mpv,6.05
宝骏,宝骏510,2017款 1.5L 手动豪华型,2018/1/2,1.67,1,suv,4.65
本田,雅阁,2014款 2.4L EX 豪华版,2013/1/10,7.06,1,saloon,11.63
大众,迈腾,2015款 1.8TSI 豪华型,2015/1/3,9.6,0,saloon,11.16
本田,飞度,2014款 1.5L LX CVT舒适型,2015/1/1,7.45,0,saloon,5.12
长安,睿骋CC,2018款 1.5T 自动智雅型,2018/1/11,0.7,0,saloon,9.77
宝骏,宝骏510,2017款 1.5L 手动豪华型,2017/1/5,5.93,2,suv,5.12
宝骏,宝骏310W,2017款 1.5L 手动 时尚型 国V,2018/1/10,0.74,1,saloon,5.01
宝骏,宝骏310W,2017款 1.5L 手动 舒适型 国V,2017/1/9,2.13,1,saloon,4.14
别克,别克GL8,2013款 3.0L XT豪华商务旗舰版,2014/1/5,14.78,0,mpv,14.86
长安,长安CS55,2017款 1.5T 自动炫色型,2018/1/8,2.14,0,suv,8.19
长安欧尚,欧尚X70A,2018款 1.5L 手动标准型,2019/1/7,0.48,0,suv,4.05
本田,飞度,2018款 1.5L CVT舒适版,2018/1/5,2.97,0,saloon,7.07
大众,途观,2016款 300TSI 自动两驱风尚版,2016/1/4,3.65,2,suv,11.48
长安,睿骋CC,2018款 1.5T 手动典雅型,2019/1/6,0.75,0,saloon,7.09
大众,速腾,2018款 280TSI DSG舒适型,2018/1/4,0.46,0,saloon,11.21
奔驰,奔驰B级,2015款 B 200 时尚型,2015/1/3,4.16,0,saloon,14.88
大众,帕萨特,2017款 330TSI DSG尊荣版,2018/1/9,3.4,0,saloon,15.35
东风风光,东风风光580,2017款 1.5T CVT智尚型,2017/1/8,3.9,0,suv,7.05
大众,高尔夫,2017款 1.6L 自动舒适百万辆纪念版,2017/1/10,3.65,0,saloon,8.3699
宝骏,宝骏310W,2017款 1.5L 手动 时尚型 国V,2018/1/3,2.0299,1,saloon,4.61
宝骏,宝骏310W,2017款 1.5L 手动 豪华型 国V,2018/1/1,2.45,0,saloon,4.47
宝骏,宝骏310W,2017款 1.5L 手动 时尚型 国V,2018/1/3,2.85,0,saloon,5.01
标致,标致408,2011款 2.0L 手动豪华版,2012/1/3,12.48,0,saloon,3.91
标致,标致301,2016款 1.6L 手动舒适版,2015/1/8,2.5099,0,saloon,4.61
比速汽车,比速T5,2017款 1.5T 手动豪华型,2017/1/9,2.6,1,suv,4.99
宝骏,宝骏310,2016款 1.2L 手动超值型,2016/1/11,4.38,0,saloon,2.11
奔驰,奔驰GLC级,2018款 GLC 200 4MATIC,2018/1/1,3.53,1,suv,31.44
东风风光,东风风光580,2017款 1.5T CVT豪华型,2017/1/1,11.16,0,suv,5.12
宝马,宝马X5,2015款 xDrive28i,2016/1/11,5.21,2,suv,46.84
东风风光,东风风光580,2016款 1.5T 手动豪华型,2017/1/9,1.44,0,suv,6.03
别克,别克GL8,2018款 ES 28T 豪华型 国VI,2020/1/1,0.03,1,mpv,34.2299
东风风光,东风风光580,2017款 改款 1.5T CVT豪华型,2017/1/12,2.79,0,suv,5.39
宝骏,宝骏360,2018款 1.5L 自动豪华型,2018/1/7,3.14,0,mpv,5.58
别克,别克GL8,2014款 2.4L 经典版,2015/1/9,15.32,1,mpv,9.26
宝骏,宝骏530,2018款 1.5T DCT豪华型,2019/1/9,0.02,1,suv,7.72
宝骏,宝骏360,2018款 1.5L 手动 精英型 国V,2018/1/10,1.74,0,mpv,5.58
长安欧尚,欧尚X70A,2018款 1.5L 手动豪华型,2018/1/4,1.09,0,suv,5.21
长安欧尚,欧尚X70A,2018款 1.5L 手动精英型,2018/1/2,1.67,0,suv,4.65
长安,睿骋CC,2018款 1.5T 自动豪雅型,2019/1/7,1.26,0,saloon,8.66
宾利,飞驰,2014款 4.0T V8 尊贵版,2014/1/10,2.54,0,saloon,186
长安欧尚,欧尚X70A,2018款 1.5L 手动舒适型,2019/1/2,4.47,0,suv,5.01
大众,迈腾,2018款 330TSI DSG 豪华型,2018/1/4,2.42,0,saloon,17.86
本田,本田XR-V,2017款 1.8L EXi CVT舒适版,2017/1/9,1.99,2,suv,11.91
东风风光,东风风光580,2020款 1.5T 手动豪华型,2019/1/8,0.24,0,suv,7.44
大众,帕萨特,2015款 1.8TSI DSG御尊版,2016/1/1,8.72,0,saloon,13.49
宝骏,宝骏510,2017款 1.5L 手动豪华型,2017/1/4,2.39,0,suv,4.23
本田,艾力绅,2016款 2.4L 至尊版,2017/1/9,8.34,0,mpv,20.46
本田,飞度,2014款 1.5L LX CVT舒适型,2015/1/1,4.32,0,saloon,5.82
标致,标致5008,2017款 380THP 7座豪华GT版,2017/1/8,5.8,0,suv,18.6
奥迪,奥迪A8L,2014款 50 TFSI quattro 专享型,2015/1/9,1.86,0,saloon,46.5
本田,本田XR-V,2017款 1.8L EXi CVT舒适版,2016/1/12,5.24,0,suv,10.59
大众,迈腾,2018款 330TSI DSG 领先型,2018/1/7,1.11,0,saloon,15.63
大众,途观,2017款 300TSI 自动两驱丝绸之路舒适版,2018/1/10,1.64,0,suv,14.88
宝骏,宝骏730,2016款 1.5L 手动舒适型 7座,2016/1/4,5.92,1,mpv,4.47
长安,长安CS55,2018款 1.5T 手动 炫色型 国V,2019/1/4,1.55,0,suv,7.72
宝骏,宝骏360,2018款 1.5L 自动豪华型,2018/1/6,1.65,0,mpv,5.68
大众,途观,2010款 1.8TSI 自动两驱风尚版,2011/1/8,13.39,1,suv,6.82
东风风光,东风风光S560,2018款 1.8L CVT尊贵型,2018/1/4,2.31,0,suv,6.51
